Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Tirai Menurun,Nh. Dini,,,"Disusun seperti adegan-adegan pertunjukan wayang orang. Tirai Menurun menyuguhkan babak demi babak kehidupan empat Kedasih. Kintel. Sumirat. dan Wardoyo.  Pemaparan dimulai ketika Republik Indonesia Serikat baru kembali menjadi negara kesatuan. Arus pendatang memasuki Semarang dari segala penjuru. Berasal dari empat desa. tokoh-tokoh kisah ini bertemu di kota. Pada siang hari mereka hidup menuruti jalan yang digariskan nasib sebagai rakyat jelata yang papa, dibebani selaksa kebutuhan tak terpenuhi. Di waktu malam, bermandikan sinar listrik dan pantulannya yang gemerlapan pada ribuan perada serta manik-manik, mereka menjelma menjadi puteri dan pangeran kerajaan yang cantik dan tampan, resi atau pertapa yang bijak berilmu tinggi, raja agung adi kuasa, bahkan sebagai dewa-dewi atau binatang gaib yang tak terbatas kesaktiannya.  Mereka hidup dalam kungkungan dua nyata dan impian. Tetapi itulah dunia yang mereka pilih dengan kerelaan yang tulus. Sang dalang berhak mengatur sempat menancapkan gunungan di tengah-tengah layar.  Tancep kayon.","Indonesian Literature, Historical Fiction, Novels","460 pages, Paperback","January 1, 1993 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1204725626i/1038257.jpg,,9789795118497 (ISBN10: 9795118498),Indonesian
With You,Christian Simamora,#JBOYFRIEND,,"365 hari dalam setahun, 24 jam dalam sehari.  Di antara semua waktu yang kita punya, kau sengaja memilih hari itu.  keluar dari mimpi indah, lalu hadir dalam hidupku...  sebagai cinta yang selama ini aku tunggu.","Romance, Young Adult, Indonesian Literature, Fiction, Chick Lit, Novels, Contemporary","316 pages, Paperback","June 1, 2012 by Gagas Media",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1340185981i/15713938.jpg,,9789797805739,Indonesian
Ny. Talis: Kisah Mengenai Madras,Budi Darma,,,"ADA apa dengan orang yang sering melihat debu-debu beterbangan, bermimpi menjadi debu, tercampak ke bumi, dan kemudian menjadi manusia? Dalam novel Ny. Talis (Kisah mengenai Madras), orang ini diberi nama Madras. Madras merupakan satu dari banyak orang di Surabaya yang dihinggapi berbagai kesaktian dan kejadian aneh. Bayangkan, ia dapat berjalan di atas rentangan tali, lompat dari gedung satu ke gedung lain, bahkan mengetahui sesuatu tanpa harus mengalaminya. Yang lantas menjadi pertanyaan adalah bagaimana kemudian kekuatan tersebut mempengaruhi hidup empunya?",,"267 pages, Paperback","January 1, 1996 by Grasindo",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464296146i/1422432.jpg,,9789795538424 (ISBN10: 979553842X),Indonesian
Merpati Tak Pernah Ingkar Janji,Mira W.,,,"""""Selamat, Maria!"""" seru Guntur, susah payah mendekati gadis itu. """"Mainmu bagus sekali! Benar nggak sih kakimu dari kayu?"""". """"Dia cewek pilihan Tuhan!"""" bentak Rena kepada Guntur. """"Kamu jangan kurang ajar!"""". """"Satemu kutambah dua porsi lagi kalau kamu berhasil mengajak dia, Ren!"""". """"Huu, sate sih apaan! Kalau Maria yang kamu mau, upahnya mesti bistik ayam!"""". """"Bistik gajah pun boleh, Ren! Kamu tinggal pilih aja di Bonbin Ragunan, mau yang mana! Besok binatang itu udah jadi bistik di piringmu!"""". """"Mendingan kamu lekas-lekas menggelinding pergi, Tur! Teman-temanku sudah siap mengeroyokmu!"""". """"Masa ngajak dia pergi aja nggak boleh? Ini sekolah apa biara?"""". """"Surat kelakuan baikmu meragukan!"""". """"Kalau begitu kamu yang harus kasih aku rekomendasi, Ren!"""". """"Wah, aku sendiri tidak percaya kok sama kamu!"""". """"Jadi aku mesti berusaha sendiri nih? Oke, Neng! Lihat saja nanti!"""". Dan Guntur benar-benar melaksanakan ancamannya. Dikejarnya Maria ke mana pun dia pergi, di mana pun dia bersembunyi. Bahkan ketika gadis kuper yang misterius itu terkapar di rumah sakit, Guntur masih sanggup menggunakan akal bulusnya untuk melarikan Maria! Namun janji tak dapat diingkari... Di ujung tragedi yang membalikkan kehidupan remaja mereka yang memerah jambu, akhirnya Maria menemukan dirinya sendiri...","Romance, Novels, Indonesian Literature, Fiction, Young Adult, Drama, Roman","183 pages, Paperback","First published January 1, 1984",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509187023i/3076919.jpg,,,
"Travelers' Tale, Belok Kanan: Barcelona!",Adhitya Mulya,,,"Keempat orang bersahabat dari kecil. Di masa SMA mereka mulai saling jatuh cinta tanpa pernah tersampaikan. Retno dua kali menolak Francis padahal sebenarnya Farah memendam cinta pada pria itu. Menambah masalah jadi pelik, Jusuf juga sebenarnya menyayangi Farah.  Mereka tumbuh besar dan bekerja di negara berbeda. Masalah dimulai ketika Francis mengirimkan undangan kepada tiga sahabatnya bahwa dia akan menikah dengan gadis Spanyol di Barcelona. Masing-masing pergi menuju Barcelona meski dengan budget terbatas dari penjuru yang berbeda dengan misi tersendiri. Mencari jawaban untuk pertanyaan masing-masing.","Indonesian Literature, Fiction, Novels, Travel, Romance, Adventure, Comedy","230 pages, Paperback","First published January 1, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325225418i/1493217.jpg,,,
Rahasia Bintang,Dyan Nuranindya,,,"Sejak ditinggal sahabatnya waktu kecil, Keysha nggak percaya lagi yang namanya sahabat. Baginya lebih baik mencari banyak teman daripada satu orang sahabat. Tapi semua berubah ketika dia mengenal Aji - cowok berandal, brengsek, tukang bikin onar, dan terkenal playboy di sekolah. Sejak mengenal Aji, setiap hari Keysha selalu jantungan menghadapi semua perilakunya yang gampang emosian. Apalagi ditambah musuh-musuh Aji yang jumlahnya bejibun. Keysha jadi merasa tidak aman dan terancam.  Tapi bagaimana jadinya kalau ternyata cowok brengsek macam Aji justru menaruh kepercayaan besar pada Keysha sehingga ia berani menceritakan rahasianya yang paling dalam? Dan apa jadinya kalau orang seperti Aji akhirnya jatuh cinta pada Keysha?","Romance, Indonesian Literature, Novels, Fiction, Romantic, Slice Of Life, Young Adult","310 pages, Paperback","March 1, 2006 by Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1260674283i/7313907.jpg,,(ISBN10: 9792220186),Indonesian
Novel Pangeran Diponegoro: Menggagas Ratu Adil,Remy Sylado,,Indonesia,"Novel Pangeran Diponegoro, Menggagas Ratu Adil, menghamparkan eksotisme perjalanan hidup Pangeran Dipononegoro mulai dari masa kanak-kanak hingga remaja dalam bingkai karya sastra. Leburan riset mendalam dan imajinasi brilian dari penulis gemilang, menjadikan karya ini penuh daya pikat.  Gaya tutur filosofis akan membawa pembaca larut dalam perenungan-perenungan di sepanjang tulisan. Menggagas Ratu Adil adalah salah penggalan kisah Pangeran Diponegoro. Bakal hadir fragmen-fragmen lain kehidupan sang pangeran dalam novel-novel selanjutnya.","Indonesian Literature, History","340 pages, Paperback","January 1, 2007 by Tiga Serangkai",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372597326i/2515974.jpg,,9789790180642,Indonesian
Upacara,Korrie Layun Rampan,,,"Novel Upacara merupakan Novel pertama karya Korrie Layun Rampan yang terbit pada tahun 1978. Konon, Novel ini merupakan hasil pemikiran pengarang selama kurun waktu tiga tahun lamanya. Kemudian, cerita dalam Novel ini dituangkan dalam bentuk tulisan selama satu minggu saja. Sangat menarik untuk diperbincangkan.  Dodong Djiwapradja mengatakan pada pengantar Novel Upacara ini bahwa, “Roman ini bukan roman dengan plot yang jelas, sekalipun dari segi struktur sebagai roman cukup baik: bahasa yang dipergunakan sesuai bahan yang diungkapkan. Ada dikatakan dalam salah satu teori modern bahwa sastra kalau mau hidup terus harus kembali pada mythe sebagai dasar atau sumber inspirasinya. Saya berpendapat bahwa Upacara merupakan roman yang dapat menjawab tantangan itu. Sastra ‘absurd’ sulit untuk berkomunikasi dengan publiknya, sebab yang paling utama ialah karena tidak bersumber pada mythe hidup bersama, sastra ‘absurd’ hanya percaya pada dirinya pribadinya sendiri sebagai individu yang otonom dan tidak percaya kepada manusia yang ada di luar dirinya. Saya kira sastra yang sejati haruslah dapat membina kepercayaan kepada manusia dalam arti ‘sesama manusia.”","Novels, Indonesian Literature, Romance","128 pages, Paperback","January 1, 2000 by Pustaka Jaya",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1285309651i/5570773.jpg,,(ISBN10: 9794191817),Indonesian
Ketika Cinta Bertasbih: Episode 2,Habiburrahman El-Shirazy,,,"Lulus S-1 dari sebuah perguruan tinggi yang memiliki pengaruh wibawa “kealiman”, tidak menyebabkan Azzam mendapat kemudahan dalam segala urusan. Dia bahkan gamang untuk mendapatkan pekerjaan yang pas. Belum lagi cibiran tetangga yang mengira bahwa lulusan Al-Azhar University otomatis menjadi kiyai, atau ulama besar. Itu kenapa sang ibu menjadi gelisah, bahkan menyuruh adik Azzam, Husna untuk mencarikan pekerjaan, apa saja yang penting asal kesannya bekerja, keluar dari rumah.  Dengan latar belakang pengalaman berwirausaha selama di Mesir, Azzam pun tidak patah semangat untuk membangun usahanya sendiri. Tetapi bagaimana dengan menikah, hal yang selalu disinggung oleh ibunya. Wanita yang ia dambakan, Anna Althafunnisa telah dipinang sahabatnya sendiri. Sedangkan dengan Eliana yang jelas-jelas menaruh hati padanya belum bisa ia terima, karena ia masih mendambakan wanita muslimah. Azzam pun berusaha mencari tambatan hatinya, walaupun cukup banyak hambatan yang ia hadapi, apalagi ditambah ibunya yang meninggal dunia karena kecelakaan saat dibonceng naik motor yang kemudian membuatnya hampir putus asa.  Namun Allah berkehendak lain pada suatu ketika di mana pernikahan Anna Althafunnisa akhirnya cerai dan Azzam ditawari ayahnya Anna Althafunnisa untuk menjadi suaminya. Sebaik dan sehebat apapun usaha manusia tentu semua kembali kepada takdir Tuhan kalau memang Tuhan mengizinkan semua bisa terjadi. Kalau kita selalu berlaku ikhlas segalanya karena Allah dan mengharap ridha-NYA pasti Allah akan memberikan yang terbaik untuk kita juga pasangan kita karena Allah maha tahu akan segala sesuatu di luar batas kemampuan manusia.","Novels, Fiction, Romance, Indonesian Literature, Islam, Religion, Drama","412 pages, Paperback","First published January 1, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1324960574i/2267679.jpg,,,
divortiare,Ika Natassa,,,"Commitment is a funny thing, you know? It's almost like getting a tattoo. You think and you think and you think and you think before you get one. And once you get one, it sticks to you hard and deep.  """"Jadi lebih penting punya Furla baru daripada ngilangin nama mantan laki lo dari dada lo?"""" Pernah melihat Red Dragon? Aku masih ingat satu adegan saat Hannibal Lecter yang diperankan Anthony Hopkins melihat bekas luka peluru di dada detektif Will Graham (Edward Norton), dan berkata, """"Our scar has a way to remind us that the past is real.""""  Tapi kemudian mungkin kita tiba di satu titik ketika yang ada hanya kebencian luar biasa ketika melihat tato itu, and all you wanna do is get rid of it. So then you did.  Alexandra, 27 tahun, workaholic banker penikmat hidup yang seharusnya punya masa depan cerah. Harusnya. Sampai ia bercerai dan merasa dirinya damaged good. Percaya bahwa kita hanya bisa disakiti oleh orang yang kita cintai, jadi membenci selalu jadi pilihan yang benar.  Little did she know that fate has a way of changing just when she doesn't want it to.","Romance, Fiction, Novels, Indonesian Literature, Adult, Chick Lit, Contemporary Romance","288 pages, Paperback","January 1, 2008 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1214657600i/3573143.jpg,,9789792238464,
Cara Berbahagia Tanpa Kepala,Henny Triskaidekaman,,,"CARA MELEPAS KEPALA: 1. Buka lilitan ritsleting yang meliliti jakun. 2. Ceraikan baut dari mur hingga talak delapan. 3. Telan dan tahan ludah dalam-dalam. 4. Tekan kedua tombol penghambat laju aliran darah secara bersamaan. 5. Pegangi kedua kuping, lalu tarik kepala ke atas dengan keras hingga terlepas.  Sempati merasa kepalanya tak memberi solusi atas ragam persoalan. Kepalanya justru merepotkan, hingga membuatnya turut program —yang memungkinkan untuk menceraikan sementara kepalanya. Tanpa diduga kepala itu menghilang. Bahagiakah Sempati hidup tanpa kepala?  ***  Setelah Triskaidekaman kembali menghadirkan cerita tak biasa. menggabungkan unsur fiksi ilmiah, surealisme, dan yang menggaungkan kegelisahan manusia modern. Kejutankejutan dalam cerita ini memberi pengalaman baru membaca novel sastra.",Novels,"300 pages, Paperback","May 6, 2019 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556843401i/45442045.jpg,,9786020629933,Indonesian
Crash Into You,AliaZalea,,,"Hanya ada satu orang yang paling dibenci Nadia di dunia ini, seorang anak laki-laki bernama Kafka. Cowok jail itu tidak bisa berhenti mengisenginya setiap hari, enam hari dalam seminggu, selama hampir dua tahun. Terakhir kali Nadia bertemu dengannya adalah sekitar dua puluh tahun yang lalu ketika mereka sama-sama masih mengenakan seragam putih-merah. Semenjak itu Nadia berjanji untuk tidak akan pernah lagi sudi bertatap muka dengannya.  Tetapi ketika suatu pagi, di usia dewasanya, Nadia terbangun dengan hanya mengenakan pakaian dalam di kamar hotel Kafka, dia harus mengevaluasi ulang pendapatnya tentang laki-laki satu ini. Kafka bukan saja kelihatan superhot, tetapi Nadia secuil pun tak pernah membayangkan bagaimana cowok iseng dan jail itu kini bisa menjadi dokter jantung ternama yang menangani ayahnya.","Romance, Indonesian Literature, Novels, Adult, Fiction, Contemporary, Chick Lit","280 pages, Paperback","March 15, 2011 by PT Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1299819262i/10767531.jpg,"Nadia, Dara, Adriana Amandira, Jana, Kafka Ananta",9789792267648 (ISBN10: 9792267646),Indonesian
Kugapai Cintamu,Ashadi Siregar,Cintaku di Kampus Biru (#2),,"Adalah kemelut Faraitody yang masih percaya pada norma-norma, tapi dikecewakan oleh kenyataan yang dihadapinya. Adalah bebas lepasnya Irawati yang manja. Adalah lontaran nasib pahit Widuri yang lemah. Adalah refleksi orang-orang muda yang menggapai untuk cinta.",Novels,"191 pages, Paperback","January 1, 1974 by PT Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1200149462i/2562273.jpg,,,Indonesian
Lovasket,Luna Torashyngu,Lovasket (#1),,"Hidup Vira hancur ketika ayahnya dituduh melakukan korupsi dan harus dipenjara. Mendadak Vira kehilangan harta benda, kedudukannya sebagai ketua geng The Roses, teman-teman, pacar, bahkan dia dikeluarkan dari sekolahnya, SMA Altavia, SMA paling elite di Bandung. Akibatnya Vira jadi mogok hidup, juga mogok main basket yang sebetulnya merupakan """"hidupnya"""". Dia merasa tidak ada gunanya punya teman lagi, karena terbukti teman-teman hanya mendampinginya saat dia berada pada puncak hidupnya.  Niken adalah Ketua OSIS SMA 31, SMA kecil di pinggiran Bandung. SMA 31 memutuskan akan memangkas anggaran ekskul sehingga ekskul-ekskul yang tidak berprestasi akan dihapuskan. Ini jadi tugas besar bagi Niken: dia harus menyeleksi ekskul mana yang akan dipertahankan dan mana yang harus dihapus. Di antara dilema besar ini, Niken melihat salah satu cara untuk menyelamatkan ekskul basket. Mungkin kalau dia bisa membujuk murid baru itu untuk bergabung dengan ekskul basket, ekskul ini bisa selamat. Selain itu, mungkin Niken juga bisa membuat murid baru yang kelihatan depresi itu lebih ceria. Mungkin Niken bisa membuat Vira tersenyum lagi....","Romance, Novels, Indonesian Literature, Fiction, Teen, Young Adult, Slice Of Life","312 pages, Paperback","June 1, 2007 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1224744675i/3175163.jpg,,(ISBN10: 9792229493),Indonesian
Ali Topan Wartawan Jalanan,Teguh Esha,,,,Novels,Paperback,"January 1, 2000",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615074493i/2092648.jpg,,,Indonesian
Jukstaposisi: Cerita tuhan Mati,Calvin Michel Sidjaja,,Indonesia,"Tahukah kau? Dengarkah kau? Ada cerita bahwa tuhan itu seorang anak perempuan. Pada awalnya ada gelap dengan setitik Chhya. Dan Chhya tidak mau ada hal lain selain dirinya. Jadi dia memakan anak perempuan itu dan tertidur selamanya. Di sebuah dunia hampa tanpa tuhan, tanpa mimpi, dan tanpa dirimu. Shäánno, oner twäer ividi oshävaad...   ====================================  """"Membalik realitas menjadi maya, menghadirkan kausa prima baru, menidurkan tuhan adalah jalinan kreatif yang memesona dalam juksta posisi, Calvin M. sidjaja hadir sebagai penulis belia yang kaya akan kemampuan."""" - Ahmad Tohari, sastrawan dan juri sayembara Novel DKJ 2006 -","Indonesian Literature, Young Adult, Fantasy, Fiction","280 pages, paperback","January 1, 2007 by Gagas Media",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1200447616i/2585588.jpg,"Ashra Trivurti, Silma Syailendra, Noah Saintclear",9789791801779,Indonesian
Brondong Lover,Stephanie Zen,,,"Nasha sebel banget sama juniornya yang nyolot, Dave. Sejak hari pertama MOS, Dave kerjanya terus membantah apa pun kata Nasha dan ogah untuk bekerja sama dalam kegiatan kelasnya. Tapi, pas Nasha berantem sama mantannya yang supernyebelin, Kevin, si nyolot Dave ternyata membelanya! Begitu pula pas Nasha terjatuh hingga terkilir di kemping penutupan MOS, Dave ngebela-belain menggendong Nasha sampai tenda. U-ui... apakah ada cinta yang mulai bersemi di hati Nasha? Bagaimana dengan hubungannya yang belum beres sama Kevin? Dan bagaimana juga dengan perhatian berlebih dari Kak Elang yang sudah kuliah?","Romance, Novels, Young Adult, Indonesian Literature, Fiction, High School","240 pages, Paperback","November 1, 2008 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1271484928i/8049775.jpg,,9789792241846,Indonesian
Kei: Kutemukan Cinta di Tengah Perang,Erni Aladjai,,,"Mari kuceritakan kisah sedih tentang kehilangan. Rasa sakit yang merupa serta perih yang menjejakkan duka. Namun, jangan terlalu bersedih, karena aku akan menceritakan pula tentang harapan. Tentang cinta yang tetap menyetia meski takdir hampir kehilangan pegangan.  Mari kuceritakan tentang orang-orang yang bertemu di bawah langit sewarna biru. Orang-orang yang memilih marah, lalu saling menorehkan luka. Juga kisah orang-orang yang memilih berjalan bersisian, dengan tangan tetap saling memegang.  Mari, mari kuceritakan tentang marah, tentang sedih, tentang langit dan senja yang tak searah, juga tentang cinta yang selalu ada dalam tiap cerita.  ***  “Kei dituturkan lewat penokohan yang dinamis dan mendalam, pengelolaan alur yang intens dan kompleks tanpa menjadikan jalan cerita hilang. Latar yang dipilih pengarang berpadu secara selaras dengan konflik utama dalam cerita.” Pidato A.S. Laksana — Sastrawan dan Juri Sayembara Menulis Novel Dewan Kesenian Jakarta 2012","Romance, Fiction, Novels, Indonesian Literature, Historical, Historical Fiction, Cultural","250 pages, Paperback","First published August 19, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377230537i/18367554.jpg,,,
Melbourne (Wedding) Marathon,Almira Bastari,,,"Sydney Deyanira Wanita cerdas, mandiri, ambisius, dan perfeksionis. Sydney merasa patah hati ketika sahabat yang ia kencani selama satu semester terakhir memilih berpacaran dengan orang lain. Dijuluki sebagai ahli percintaan prematur, Sydney mulai berpikir untuk melakukan apa yang tidak pernah ia lakukan sebelumnya, menjalin hubungan palsu dengan orang baru.  Anantha Daniswara Pria sukses, arogan, suka bergonta-ganti pasangan namun masih belum berdamai dengan masa lalunya. Demi memenuhi tantangan mantan pacarnya, Anantha nekat meminta pelayannya sendiri untuk menjadi kekasihnya. Melbourne bukan kota cinta dan jauh dari kata romantis. Sebagai kota yang paling nyaman ditinggali di dunia, Melbourne menjadi awal baru bagi dua insan yang tertekan dengan rentetan pesta pernikahan!","Romance, Fiction, Chick Lit, Indonesian Literature, Novels, Contemporary, Contemporary Romance","224 pages, Paperback","First published July 31, 2017",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500522817i/35709165.jpg,,,
Peri Kecil di Sungai Nipah,Dyah Merta,,,"Suasana nglangut, mistis, dan motif balas dendam anak haram mengingatkan kita pada karya Isabelle Allende, The House of Spirits yang filmnya beredar di Indonesia. Alurnya yang berputar seperti spiral, detilnya yang bagai mozaik mengingatkan kita pada karya Arundhati Roy. The God of Small Things. Dengan adegan-adegan filmis, suasana mencekam, dan struktur yang tertata, novel ini membawa angin segar pada kesusasteraan Indonesia. Jika mampu mengembangkan warna lokal yang kuat dan penguasaan tata bahasa yang lebih rapi, novelis ini akan meletakkan sastra Indonesia di blantika sastra dunia.  Prof. Dr. Melani Budianta Guru Besar Ilmu Susastra, FIB, Univ. Indonesia","Indonesian Literature, Fiction","300 pages, Paperback","January 1, 2007 by Penerbit Koekoesan",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1710227636i/1910605.jpg,,(ISBN10: 979144207X),Indonesian
Oppa & I,Orizuka,Oppa & I (#1),,"Park Jae In:  ‘Oppa’.  Apa panggilan itu tidak terdengar lucu? Terutama setelah kau pergi meninggalkanku begitu saja lima tahun lalu?  Sekarang saat bertemu lagi, apa yang membuat senyummu selebar itu?  Apa kau senang melihatku seperti ini?  :  Jae In-a.  Kau dulu menggemaskan, tetapi sekarang mengapa begini? Siapa yang membuatmu susah, katakan pada Oppa!  Oppa tak akan membiarkan siapapun menyakitimu!  Oppa akan melindungimu!","Romance, Novels, Family, Indonesian Literature, Drama, Fiction, Young Adult","156 pages, Mass Market Paperback","December 1, 2011 by Penerbit Haru",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322726978l/13136388.jpg,,9786029832532,Indonesian
Trilogi Soekram,Sapardi Djoko Damono,Trilogi Sukram (#1-3),,"Edisi komplet dari Trilogi Soekram, yang sebelumnya diterbitkan dalam 3 buku terpisah, yaitu: Pengarang Telah Mati, Pengarang Belum Mati, dan Pengarang Tak Pernah Mati.  -------------------------  Saudara, saya Soekram, tokoh sebuah cerita yang ditulis oleh seorang pengarang. Ia seenaknya saja memberi saya nama Soekram, yang konon berasal dari bahasa asing yang artinya— ah, saya lupa. Tapi sudahlah. Apa pun nama saya, saya harus menerimanya, bukan? Pengarang itu sudah payah sekali kesehatannya, kalau tiba-tiba ia mati, dan cerita tentang saya belum selesai, bagaimana nasib saya—yang menjadi tokoh utama ceritanya? Saya tidak bisa ditinggalkannya begitu saja, bukan? Saya mohon Saudara berbuat sesuatu. Trilogi Soekram karya Sapardi Djoko Damono berkisah tentang tokoh  Soekram yang tiba-tiba loncat keluar dari cerita dan menggugat sang pengarang. Mengapa ia tak selesai ditulis. Mengapa ia tak bisa menentukan jalan ceritanya sendiri. Mengapa ia tak bisa menjadi pengarang. Mengapa kisah cintanya disusun dengan rumit. Antara Soekram dan Ida, Soekram dan Rosa, Soekram dan istrinya (tentu saja). Sejumlah pertanyaan itu membungkus kisah Soekram yang mengambil latar di kampus, rumah tangga, dan peristiwa huru-hara Mei 98. Novel karya penyair besar Indonesia ini menunjukkan hubungan paling kompleks sekaligus paling sejati antara pengarang dan tokoh di dalam tulisannya.","Fiction, Indonesian Literature, Novels, Classics","274 pages, Paperback","March 1, 2015 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1425955880i/25109669.jpg,,9786020314785 (ISBN10: 6020314782),Indonesian
Truth or Dare,Winna Efendi,,,"LONG TIME NO SEE Suaramu seperti embusan udara segar saat terdengar di gagang telepon. Apa kabarmu, Teman? Semoga waktu memperlakukanmu dengan baik. Oh ya, tentu saja aku juga kangen padamu. Bahkan sampai detik ini, kau selalu ada di speed dial handphone-ku—dan juga hatiku.  MISS YOU LIKE CRAZY Banyak yang ingin aku ceritakan padamu saat bertemu nanti. Tentang teriknya matahari, tentang indahnya rembulan. Tentang ceritaku yang terjadi di antaranya.  WISH YOU WERE HERE Tahukah kamu, sampai kau kembali lagi, akan selalu ada dua kursi di teras rumahku? Dan setiap sore, aku duduk di sana, membaca buku dan menunggu. Aku ingin, saat kau datang nanti, akulah orang yang pertama kali kau temui. Yang berlari ke arahmu sambil memekik senang.  Menjadi orang pertama yang akan memberimu pelukan selamat datang....  *  TRUTH OR DARE adalah Gagas Duet, novella dari dua penulis GagasMedia: Winna Efendi dan Yoana Dianika. Keduanya mempersembahkan cerita pahit manis sebuah persahabatan.  Sebelumnya, Winna Efendi sudah pernah menulis Ai (2009), Refrain (2009), Unbelievable (2009), Remember When (2011), dan Unforgettable (2012). Sedangkan Yoana Dianika merilis Till We Meet Again (2011) yang merupakan pemenang lomba 100% Roman Asli Indonesia.","Romance, Young Adult, Indonesian Literature, Novels, Drama, Chick Lit, Fiction","304 pages, Paperback","May 1, 2012 by GagasMedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337058733i/13664796.jpg,,9789797805661 (ISBN10: 9797805662),Indonesian
Bellamore: A Beautiful Love To Remember,Karla M. Nashar,,,"""""But what do you do if you get horny?"""" Demi Zeus dan para dewa Yunani lainnya!!! What is it with this man?!!! Pria dihadapanku ini, yang kukenal belum sampai sebulan, bukan pacarku, bukan sahabatku, tidak juga punya hubungan darah apapun denganku, hanya rekan bisnis, tapi ingin tahu apa yang kulakukan jika libidoku sedang naik?!?!?! He's got to be kidding me!!!!  Awalnya nama Fabian Ferdinandi bagiku sama artinya dengan kejengkelan tak berujung. Pria Italia itu sangat tahu bagaimana membuat seluruh syarafku menegang cepat dan membuat setiap percakapan kami berakhir dengan kemarahan dipihakku. Namun yang paling menyebalkan adalah, Fabian sangat tahu bagaimana membuatku tampak seperti alien karena usiaku yang sudah 27 tahun ini, aku memutuskan untuk tetap mempertahankan VIRGINITY-ku.Sesuatu yang menurutnya sangat absurd untuk wanita seperti aku.  Setidaknya begitulah. Sampai akhirnya waktu memisahkan dan mempertemukan kami lagi pada suatu pagi yang beku di Time Square. Namun seiring musim berganti di New York, aku pun harus menghadapi kenyataan mengejutkan tentang Fabian. Dan perasaanku sendiri terhadapnya.","Romance, Indonesian Literature, Fiction, Adult, Chick Lit, Novels, Roman","264 pages, Paperback","First published January 1, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488354454i/1821019.jpg,,,
Boulevard de Clichy: Agonia Cinta Monyet,Remy Sylado,,Indonesia,"Banyak pelukis sejak abad ke-19 melukis kehidupan di Boulevard de Clichy. Termasuk Van Gogh, Bonnard, Cezanne, Pissaro, Renoir, Seurat, Severini, Signac.  Apa yang menarik dari nama jalanan di Paris ini? Di situ, dalam novel ini, ada Anugrahati, panggilannya Nunuk, penyanyi dan penari telanjang yang dijuluki Meteore de Java. Dia terbuang namun tak menyerah, terlaknati namun terberkati. Cinta dan tanggungjawab pada kehidupan membuatnya kokoh.  Demikian teladan seorang wanita yang ibu kontemporer dalam potret manusia - manusia Indonesia setelah tumbangnya Orde Baru. Ditulis menurut realitas dengan pelbagai kemungkinan oleh pengarang mbeling Remy Sylado, yang pada tahun 2005 memperoleh anugrah Satya Lencana Kebudayaan oleh negara RI atas kepeloporannya di bidang sastra.","Indonesian Literature, Novels, Fiction","672 pages, Paperback","March 1, 2006 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611498368i/1498473.jpg,,9789792220377 (ISBN10: 9792220372),Indonesian
Ali Topan Anak Jalanan,Teguh Esha,,,,"Novels, Indonesian Literature",243 pages,"September 1, 2000 by Visi Gagas Komunika",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1512888989i/2092640.jpg,,,
