Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Trainspotting,Irvine Welsh,Mark Renton (#2),"London, England, Edinburgh, Scotland, Scotland","The bestselling novel by Irvine Welsh that provided the inspiration for Danny Boyle’s hit film'  Choose us. Choose life. Choose mortgage payments, choose washing machines, choose cars, choose sitting oan a couch watching mind-numbing and spirit-crushing game shows, stuffing fuckin junk food intae yir mooth. Choose rotting away, pishing and shiteing yersel in a home, a total fuckin embarrassment tae the selfish, fucked-up brats ye've produced. Choose life.","Fiction, Contemporary, Classics, Scotland, Novels, Crime, Literature","431 pages, Paperback","July 11, 1994 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353033083i/135836.jpg,"Mark Renton, Simon Williamson",9780099465898 (ISBN10: 0099465892),Scots
Housekeeping,Marilynne Robinson,,Idaho (United States),"A modern classic, Housekeeping is the story of Ruth and her younger sister, Lucille, who grow up haphazardly, first under the care of their competent grandmother, then of two comically bumbling great-aunts, and finally of Sylvie, their eccentric and remote aunt. The family house is in the small Far West town of Fingerbone set on a glacial lake, the same lake where their grandfather died in a spectacular train wreck, and their mother drove off a cliff to her death. It is a town """"chastened by an outsized landscape and extravagant weather, and chastened again by an awareness that the whole of human history had occurred elsewhere."""" Ruth and Lucille's struggle toward adulthood beautifully illuminates the price of loss and survival, and the dangerous and deep undertow of transience.","Fiction, Classics, Literary Fiction, Novels, Literature, Contemporary, American","219 pages, Paperback","November 1, 2004 by Picador",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327882949i/11741.jpg,,9780312424091 (ISBN10: 0312424094),English
Till We Have Faces,C.S. Lewis,,Glome (Greece),"In this timeless tale of two mortal princesses- one beautiful and one unattractive- C.S. Lewis reworks the classical myth of Cupid and Psyche into an enduring piece of contemporary fiction. This is the story of Orual, Psyche's embittered and ugly older sister, who posessively and harmfully loves Psyche. Much to Orual's frustration, Psyche is loved by Cupid, the god of love himself, setting the troubled Orual on a path of moral development.  Set against the backdrop of Glome, a barbaric, pre-Christian world, the struggles between sacred and profane love are illuminated as Orual learns that we cannot understand the intent of the gods """"till we have faces"""" and sincerity in our souls and selves.","Fiction, Fantasy, Classics, Mythology, Christian, Religion, Christianity","313 pages, Paperback","August 6, 2006 by Harcourt Paperbacks",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1381692105i/17343.jpg,"Psyche (mythology), Orual",,English
High Fidelity,Nick Hornby,,"London, England","Do you know your desert-island, all-time, top five most memorable split-ups?  Rob does. He keeps a list, in fact. But Laura isn't on it - even though she's just become his latest ex. He's got his life back, you see. He can just do what he wants when he wants: like listen to whatever music he likes, look up the girls that are on his list, and generally behaves as if Laura never mattered. But Rob finds he can't move on. He's stuck in a really deep groove - and it's called Laura. Soon, Rob's asking himself some big questions: about love, about life - and about why we choose to share ours with the people we do.","Fiction, Music, Contemporary, Humor, Romance, Novels, British Literature","323 pages, Paperback","May 5, 1996 by Riverhead Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327928082i/285092.jpg,Rob Gordon,9781573225519 (ISBN10: 1573225517),English
The Gift of the Magi,O. Henry,,"The United States of America, New York City, New York (United States)","O. Henry's classic tale of the wisest gifts of Christmas is itself a gift to share and treasure.  In a shabby New York flat, Della sobs as she counts the few coins she has saved to buy a Christmas present for her husband, Jim. One dollar and eighty-seven cents is all the money she has in the world. A gift worthy of her devotion will require a great sacrifice: selling her long, beautiful hair. Set in New York at the turn of the twentieth century, this classic piece of American literature tells the story of a young couple and the value of love.  Jim, meanwhile, has made a sacrifice for Della that is no less difficult. As they exchange gifts on Christmas Eve, the discovery of what each has done fills them with despair, until they realize that the true gifts of Christmas can be found more readily in their humble apartment than in any fine store. Set in New York at the turn of the twentieth century, this classic piece of American literature tells the story of a young couple and the value of love.  paints a masterly portrait of unfaltering love, a haven from the harsh world outside. The poignancy of his story is captured in Zwerger's eloquent art, wherein every glance, every gesture, tells a subtle truth.","Classics, Short Stories, Fiction, Christmas, Romance, Holiday, Literature","26 pages, Hardcover","October 3, 2006 by Simon & Schuster Books for Young Readers",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348417439i/143534.jpg,"Jim, Della",9781416935865 (ISBN10: 141693586X),English
The Source,James A. Michener,,Israel,"In the grand storytelling style that is his signature, James Michener sweeps us back through time to the very beginnings of the Jewish faith, thousands of years ago. Through the predecessors of four modern men and women, we experience the entire colorful history of the Jews, including the life of the early Hebrews and their persecutions, the impact of Christianity, the Crusades, and the Spanish Inquisition, all the way to the founding of present-day Israel and the Middle-East conflict. """"A sweeping chronology filled with excitement."""" THE PHILADELPHIA INQUIRER","Historical Fiction, Fiction, Historical, Israel, Religion, Jewish, Novels","1080 pages, Paperback","July 1, 2002 by Random House, Inc.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1412531751i/12657.jpg,,9780375760389 (ISBN10: 0375760385),English
Rendezvous with Rama,Arthur C. Clarke,Rama (#1),,"At first, only a few things are known about the celestial object that astronomers dub Rama. It is huge, weighing more than ten trillion tons. And it is hurtling through the solar system at an inconceivable speed. Then a space probe confirms the unthinkable: Rama is no natural object. It is, incredibly, an interstellar spacecraft. Space explorers and planet-bound scientists alike prepare for mankind's first encounter with alien intelligence. It will kindle their wildest dreams... and fan their darkest fears. For no one knows who the Ramans are or why they have come. And now the moment of rendezvous awaits — just behind a Raman airlock door.","Science Fiction, Fiction, Science Fiction Fantasy, Space, Classics, Novels, Aliens","243 pages, Paperback","January 1, 2000",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405456427i/112537.jpg,Bill Norton,9781857231588 (ISBN10: 1857231589),English
One for the Money,Janet Evanovich,Stephanie Plum (#1),"Trenton, New Jersey (United States), New Jersey (United States)","Meet Stephanie Plum, a bounty hunter with attitude. In Stephanie’s opinion, toxic waste, rabid drivers, armed schizophrenics, and August heat, humidity, and hydrocarbons are all part of the great adventure of living in Jersey.  She’s a product of the “burg,” a blue-collar pocket of Trenton where houses are attached and narrow, cars are American, windows are clean, and (God forbid you should be late) dinner is served at six.  Out of work and out of money, Stephanie blackmails her bail-bondsman cousin Vinnie into giving her a try as an apprehension agent. Stephanie knows zilch about the job requirements, but she figures her new pal, el-primo bounty hunter Ranger, can teach her what it takes to catch a crook. Her first nail Joe Morelli, a former vice cop on the run from a charge of murder one. Morelli’s the inamorato who charmed Stephanie out of her virginity at age sixteen. There’s still powerful chemistry between them, so the chase should be interesting…and could also be extremely dangerous.","Mystery, Fiction, Humor, Chick Lit, Romance, Crime, Mystery Thriller","320 pages, Paperback","January 1, 2006 by St. Martin's Griffin",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316730230i/6853.jpg,"Ranger (Rangeman CEO), Lula, Grandma Mazur, Jimmy Alpha, Joe Morelli, Stephanie Plum",9780312362089 (ISBN10: 0312362080),English
Memoirs of Hadrian,Marguerite Yourcenar,,"Rome (Italy), Athens (Greece), Alexandria (Egypt)","Both an exploration of character and a reflection on the meaning of history, Memoirs of Hadrian has received international acclaim since its first publication in France in 1951. In it, Marguerite Yourcenar reimagines the Emperor Hadrian's arduous boyhood, his triumphs and reversals, and finally, as emperor, his gradual reordering of a war-torn world, writing with the imaginative insight of a great writer of the twentieth century while crafting a prose style as elegant and precise as those of the Latin stylists of Hadrian's own era.","Historical Fiction, Fiction, Classics, France, Historical, Philosophy, Literature","347 pages, Paperback","May 18, 2005 by Farrar, Straus and Giroux",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416448158i/12172.jpg,"Antinoüs, Trajan (emperor), Hadrian, Vibia Sabina",9780374529260 (ISBN10: 0374529264),English
The Crystal Cave,Mary Stewart,Arthurian Saga (#1),United Kingdom,"Fifth century Britain is a country of chaos and division after the Roman withdrawal. This is the world of young Merlin, the illegitimate child of a South Wales princess who will not reveal to her son his father's true identity. Yet Merlin is an extraordinary child, aware at the earliest age that he possesses a great natural gift - the Sight. Against a background of invasion and imprisonment, wars and conquest, Merlin emerges into manhood, and accepts his dramatic role in the New Beginning - the coming of King Arthur.","Fantasy, Fiction, Historical Fiction, Arthurian, Historical, Mythology, Science Fiction Fantasy","494 pages, Paperback","May 1, 2003 by Eos",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439344566i/82192.jpg,"Niniane, Merlin (Arthurian wizard), Uther Pendragon, Ralf, Aurelius Ambrosius, Vortigern, Galapas, Cadal, Ygraine, Ulfin",9780060548254 (ISBN10: 0060548258),English
The Brothers K,David James Duncan,,,"Duncan took almost 10 years to follow up the publication of his much-praised first novel, The River Why, but this massive second effort is well worth the wait. It is a stunning work: a complex tapestry of family tensions, baseball, politics and religion, by turns hilariously funny and agonizingly sad. Highly inventive formally, the novel is mainly narrated by Kincaid Chance, the youngest son in a family of four boys and identical twin girls, the children of Hugh Chance, a discouraged minor-league ballplayer whose once-promising career was curtained by an industrial accident, and his wife Laura, an increasingly fanatical Seventh-Day Adventist. The plot traces the working-out of the family's fate from the beginning of the Eisenhower years through the traumas of Vietnam.","Fiction, Baseball, Historical Fiction, Sports, Novels, Literary Fiction, Family","645 pages, Paperback","June 1, 1996 by Dial Press Trade Paperback",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403176622i/19534.jpg,,9780553378498 (ISBN10: 055337849X),English
Dragonfly in Amber,Diana Gabaldon,"Outlander (#2), נוכרייה (#2)","Le Havre (France, 1744), Paris (France, 1744), Inverness, Scotland (, 1968), Scottish Highlands (, 1745)","An alternate cover edition can be found here.  From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland...  For twenty years Claire Randall has kept her secrets. But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills. Here Claire plans to reveal a truth as stunning as the events that gave it birth: about the mystery of an ancient circle of standing stones ...about a love that transcends the boundaries of time ...and about James Fraser, a Scottish warrior whose gallantry once drew a young Claire from the security of her century to the dangers of his ....  Now a legacy of blood and desire will test her beautiful copper-haired daughter, Brianna, as Claire's spellbinding journey of self-discovery continues in the intrigue-ridden Paris court of Charles Stuart ...in a race to thwart a doomed Highlands uprising ...and in a desperate fight to save both the child and the man she loves....","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance","947 pages, Paperback","August 7, 2001 by Bantam",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1456114344i/5364.jpg,"Jamie Fraser, Brianna Randall, Roger MacKenzie, Fergus Fraser, Ian Murray, Claire Randall Fraser, Jonathan Randall, Dougal MacKenzie, Colum MacKenzie, Geillis Duncan, Jenny Murray, Frank Randall, Murtagh Fraser",,English
"Winesburg, Ohio",Sherwood Anderson,,Ohio (United States),"Winesburg, Ohio depicts the strange, secret lives of the inhabitants of a small town. In """"Hands,"""" Wing Biddlebaum tries to hide the tale of his banishment from a Pennsylvania town, a tale represented by his hands. In """"Adventure,"""" lonely Alice Hindman impulsively walks naked into the night rain. Threaded through the stories is the viewpoint of George Willard, the young newspaper reporter who, like his creator, stands witness to the dark and despairing dealings of a community of isolated people.","Fiction, Classics, Short Stories, Literature, American, Literary Fiction, 20th Century","240 pages, Paperback","November 11, 1999 by Oxford University Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391639013i/80176.jpg,"Elizabeth Willard, Doctor Parcival, Louise Trunnion, Jesse Bentley, Louise Bentley, David Hardy, Joe Welling, Alice Hindman, Wash Williams, Seth Richmond, Tandy Hard, The Reverend Curtis Hartman, Kate Swift, Enoch Robinson, Belle Carpenter, Elmer Cowley, Ray Pearson, Tom Foster, Helen White, George Willard",9780192839770 (ISBN10: 0192839772),English
The Remains of the Day,Kazuo Ishiguro,,"England (, 1956), United Kingdom","Librarian's note: See alternate cover edition of ISBN 0571225381 here.  In the summer of 1956, Stevens, a long-serving butler at Darlington Hall, decides to take a motoring trip through the West Country. The six-day excursion becomes a journey into the past of Stevens and England, a past that takes in fascism, two world wars, and an unrealised love between the butler and his housekeeper.","Fiction, Historical Fiction, Classics, Literary Fiction, Historical, Literature, Novels","258 pages, Paperback","January 1, 2005 by Faber & Faber",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327128714i/28921.jpg,"James Stevens, Miss Kenton, Lord Darlington, Mr. Farraday, Reginald Cardinal, M. Dupont, William Stevens, Senator Lewis",,English
The Souls of Black Folk,W.E.B. Du Bois,,,"This landmark book is a founding work in the literature of black protest. W. E. B. Du Bois (1868–1963) played a key role in developing the strategy and program that dominated early 20th-century black protest in America. In this collection of essays, first published together in 1903, he eloquently affirms that it is beneath the dignity of a human being to beg for those rights that belong inherently to all mankind. He also charges that the strategy of accommodation to white supremacy advanced by Booker T. Washington, then the most influential black leader in America, would only serve to perpetuate black oppression. Publication of The Souls of Black Folk was a dramatic event that helped to polarize black leaders into two groups: the more conservative followers of Washington and the more radical supporters of aggressive protest. Its influence cannot be overstated. It is essential reading for everyone interested in African-American history and the struggle for civil rights in America.","Nonfiction, History, Classics, Race, Essays, Sociology, Philosophy","288 pages, Paperback","September 26, 1996 by Penguin Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309202855i/318742.jpg,,,English
The Complete Maus,Art Spiegelman,Maus (#1-2),"Auschwitz (Poland), Poland, Sosnowiec (Poland)","On the occasion of the twenty-fifth anniversary of its first publication, here is the definitive edition of the book acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).  The Pulitzer Prize-winning Maus tells the story of Vladek Spiegelman, a Jewish survivor of Hitler’s Europe, and his son, a cartoonist coming to terms with his father’s story. Maus approaches the unspeakable through the diminutive. Its form, the cartoon (the Nazis are cats, the Jews mice), shocks us out of any lingering sense of familiarity and succeeds in “drawing us closer to the bleak heart of the Holocaust” (The New York Times).  Maus is a haunting tale within a tale. Vladek’s harrowing story of survival is woven into the author’s account of his tortured relationship with his aging father. Against the backdrop of guilt brought by survival, they stage a normal life of small arguments and unhappy visits. This astonishing retelling of our century’s grisliest news is a story of survival, not only of Vladek but of the children who survive even the survivors. Maus studies the bloody pawprints of history and tracks its meaning for all of us.","Graphic Novels, Comics, Nonfiction, History, Biography, Memoir, Historical","296 pages, Paperback","October 2, 2003 by Penguin Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327354180i/15195.jpg,"Vladek Spiegelman, Anja Spiegelman, Art Spiegelman, Mala Spiegelman",9780141014081 (ISBN10: 0141014083),English
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,,,"The Appalachian Trail stretches from Georgia to Maine and covers some of the most breathtaking terrain in America—majestic mountains, silent forests, sparking lakes. If you’re going to take a hike, it’s probably the place to go. And Bill Bryson is surely the most entertaining guide you’ll find. He introduces us to the history and ecology of the trail and to some of the other hardy (or just foolhardy) folks he meets along the way—and a couple of bears. Already a classic, A Walk in the Woods will make you long for the great outdoors (or at least a comfortable chair to sit and read in).","Nonfiction, Travel, Memoir, Humor, Nature, Adventure, Audiobook","397 pages, Mass Market Paperback","First published May 5, 1998",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388189974i/9791.jpg,,,
Wide Sargasso Sea,Jean Rhys,,,"Wide Sargasso Sea, a masterpiece of modern fiction, was Jean Rhys’s return to the literary center stage. She had a startling early career and was known for her extraordinary prose and haunting women characters. With Wide Sargasso Sea, her last and best-selling novel, she ingeniously brings into light one of fiction’s most fascinating characters: the madwoman in the attic from Charlotte Brontë’s Jane Eyre. This mesmerizing work introduces us to Antoinette Cosway, a sensual and protected young woman who is sold into marriage to the prideful Mr. Rochester. Rhys portrays Cosway amidst a society so driven by hatred, so skewed in its sexual relations, that it can literally drive a woman out of her mind.  A new introduction by the award-winning Edwidge Danticat, author most recently of , expresses the enduring importance of this work. Drawing on her own Caribbean background, she illuminates the setting’s impact on Rhys and her astonishing work.","Classics, Fiction, Historical Fiction, Literature, Historical, Feminism, Literary Fiction","176 pages, Paperback","January 25, 2016 by W. W. Norton & Company",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453021061i/25622780.jpg,"Antoinette Cosway, Tia, Aunt Cora, Grace Poole, Richard Mason, Annette Cosway, Pierre Cosway, Mr Mason, Christophine, Godfrey, Edward Rochester",9780393352566 (ISBN10: 0393352560),English
A River Runs Through It and Other Stories,Norman Maclean,,,"Just as Norman Maclean writes at the end of """"A River Runs Through It"""" that he is """"haunted by waters,"""" so have readers been haunted by his novella. A retired English professor who began writing fiction at the age of 70, Maclean produced what is now recognized as one of the classic American stories of the twentieth century. Originally published in 1976, A River Runs Through It and Other Stories now celebrates its twenty-fifth anniversary, marked by this new edition that includes a foreword by Annie Proulx.  Maclean grew up in the western Rocky Mountains in the first decades of the twentieth century. As a young man he worked many summers in logging camps and for the United States Forest Service. The two novellas and short story in this collection are based on his own experiences—the experiences of a young man who found that life was only a step from art in its structures and beauty. The beauty he found was in reality, and so he leaves a careful record of what it was like to work in the woods when it was still a world of horse and hand and foot, without power saws, """"cats,"""" or four-wheel drives. Populated with drunks, loggers, card sharks, and whores, and set in the small towns and surrounding trout streams and mountains of western Montana, the stories concern themselves with the complexities of fly fishing, logging, fighting forest fires, playing cribbage, and being a husband, a son, and a father.","Fiction, Short Stories, Classics, Nature, Literature, Historical Fiction, Westerns","217 pages, Paperback","First published January 1, 1976",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924914i/30043.jpg,,,
The Myth of Sisyphus and Other Essays,Albert Camus,,,"One of the most influential works of this century, this is a crucial exposition of existentialist thought. Influenced by works such as Don Juan, and the novels of Kafka, these essays begin with a meditation on suicide: the question of living or not living in an absurd universe devoid of order or meaning. With lyric eloquence, Camus posits a way out of despair, reaffirming the value of personal existence, and the possibility of life lived with dignity and authenticity.","Philosophy, Nonfiction, Classics, Essays, France, Literature, French Literature","212 pages, Paperback","May 7, 1991 by Vintage International",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1533718219i/11987.jpg,,,English
Twenty Love Poems and a Song of Despair,Pablo Neruda,,,"When it appeared in 1924, this work launched into the international spotlight a young and unknown poet whose writings would ignite a generation. W. S. Merwin's incomparable translation faces the original Spanish text. Now in a black-spine Classics edition with an introduction by Cristina Garcia, this book stands as an essential collection that continues to inspire lovers and poets around the world. The most popular work by Chile's Nobel Prize-winning poet, and the subject of Pablo Larraín's acclaimed feature film Neruda starring Gael García Bernal.","Poetry, Classics, Romance, Spanish Literature, Fiction, Literature, Latin American","60 pages, Paperback","First published January 1, 1924",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447622711i/5932.jpg,,,
Long Day’s Journey into Night,Eugene O'Neill,,Connecticut (United States),"Long Day's Journey Into Night is the story of one devastating day in the Tyrone family.  The play is autobiographical, and O'Neill draws his drug-addicted mother, his close-fisted father, his drunken and degenerate elder brother, and his tormented self, with terrifying veracity.","Plays, Drama, Classics, Fiction, Theatre, Literature, American","179 pages, Paperback","March 1, 2002 by Yale University Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674936184i/12083.jpg,"Edmund Tyrone, Mary Tyrone, James Tyrone, Jamie Tyrone",9780300093056 (ISBN10: 0300093055),English
The Long Goodbye,Raymond Chandler,Philip Marlowe (#6),"Los Angeles, California (United States), California (United States)","Down-and-out drunk Terry Lennox has a problem: his millionaire wife is dead and he needs to get out of LA fast. So he turns to the only friend he can trust: private investigator Philip Marlowe. Marlowe is willing to help a man down on his luck, but later Lennox commits suicide in Mexico and things start to turn nasty. Marlowe is drawn into a sordid crowd of adulterers and alcoholics in LA's Idle Valley, where the rich are suffering one big suntanned hangover. Marlowe is sure Lennox didn't kill his wife, but how many stiffs will turn up before he gets to the truth?","Mystery, Fiction, Crime, Noir, Classics, Detective, Mystery Thriller","379 pages, Paperback","August 12, 1988 by Vintage Crime/Black Lizard",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655478371i/2054.jpg,"Candy, Philip Marlowe, Roger Wade, Eileen Wade, Sewell Endicott, Terry Lennox, Howard Spencer, Harlan Potter, Linda Loring, Dr. Edward Loring, Dr. Verringer, Bernie Ohls, George Peters, Mendy Menendez, Chick Agostino, Lonnie Morgan, Sergeant Green, Captain Gregorius, Detective Dayton, Mr. Grenz, Dr. Lester Vukanich, Dr. Amos Varley
Show more",9780394757681 (ISBN10: 0394757688),English
The Spy Who Came In from the Cold,John le Carré,,,"In this classic, John le Carre's third novel and the first to earn him international acclaim, he created a world unlike any previously experienced in suspense fiction. With unsurpassed knowledge culled from his years in British Intelligence, le Carre brings to light the shadowy dealings of international espionage in the tale of a British agent who longs to end his career but undertakes one final, bone-chilling assignment. When the last agent under his command is killed and Alec Leamas is called back to London, he hopes to come in from the cold for good. His spymaster, Control, however, has other plans. Determined to bring down the head of East German Intelligence and topple his organization, Control once more sends Leamas into the fray -- this time to play the part of the dishonored spy and lure the enemy to his ultimate defeat.","Fiction, Thriller, Mystery, Espionage, Classics, Mystery Thriller, Novels","212 pages, Paperback","First published September 1, 1963",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327719782i/19494.jpg,,,
Papillon,Henri Charrière,Papillon (#1),"Devil's Island (French Guiana), French Guiana, Paris (France), France","Henri Charrière, called """"Papillon,"""" for the butterfly tattoo on his chest, was convicted in Paris in 1931 of a murder he did not commit. Sentenced to life imprisonment in the penal colony of French Guiana, he became obsessed with one goal: escape. After planning and executing a series of treacherous yet failed attempts over many years, he was eventually sent to the notorious prison, Devil's Island, a place from which no one had ever escaped . . . until Papillon. His flight to freedom remains one of the most incredible feats of human cunning, will, and endurance ever undertaken.  Charrière's astonishing autobiography, , was published in France to instant acclaim in 1968, more than twenty years after his final escape. Since then, it has become a treasured classic -- the gripping, shocking, ultimately uplifting odyssey of an innocent man who simply would not be defeated.","Nonfiction, Biography, Classics, Memoir, Adventure, Autobiography, History","544 pages, Paperback","August 1, 2006 by William Morrow Paperbacks",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327865561i/6882.jpg,,9780061120664 (ISBN10: 0061120669),English
The Gormenghast Novels,Mervyn Peake,Gormenghast (#1-3),Gormenghast,"A doomed lord, an emergent hero, and a dazzling array of bizarre creatures inhabit the magical world of the Gormenghast novels which, along with Tolkien's Lord of the Rings, reign as one of the undisputed fantasy classics of all time. At the center of it all is the seventy-seventh Earl, Titus Groan, who stands to inherit the miles of rambling stone and mortar that form Gormenghast Castle and its kingdom, unless the conniving Steerpike, who is determined to rise above his menial position and control the House of Groan, has his way.  In these extraordinary novels, Peake has created a world where all is like a dream - lush, fantastical, and vivid. Accompanying the text are Peake's own drawings, illustrating the whole assembly of strange and marvelous creatures that inhabit Gormenghast.  Also featuring: Introductory essays by Anthony Burgess and Quentin Crisp Twelve critical essays, curated by Peake scholar Peter G. Winnington Fragment of the unpublished novel,","Fantasy, Fiction, Classics, Gothic, Horror, Novels, Literature","1173 pages, Paperback","December 1, 1995 by Overlook Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1651356062i/39058.jpg,"Titus Groan, Steerpike, Dr. Alfred Prunesquallor, Lord Sepulchrave, Mr. Flay, Abiatha Swelter, Gertrude Groan, Fuchsia Groan, Keda, Nannie Slagg, Cora Groan, Clarice Groan",9780879516284 (ISBN10: 0879516283),English
The Third Policeman,Flann O'Brien,,Ireland,"The Third Policeman is Flann O'Brien's brilliantly dark comic novel about the nature of time, death, and existence. Told by a narrator who has committed a botched robbery and brutal murder, the novel follows him and his adventures in a two-dimensional police station where, through the theories of the scientist/philosopher de Selby, he is introduced to """"Atomic Theory"""" and its relation to bicycles, the existence of eternity (which turns out to be just down the road), and de Selby's view that the earth is not round but """"sausage-shaped."""" With the help of his newly found soul named """"Joe,"""" he grapples with the riddles and contradictions that three eccentric policeman present to him. The last of O'Brien's novels to be published, The Third Policeman joins O'Brien's other fiction (At Swim-Two-Birds, The Poor Mouth, The Hard Life, The Best of Myles, The Dalkey Archive) to ensure his place, along with James Joyce and Samuel Beckett, as one of Ireland's great comic geniuses.","Fiction, Ireland, Irish Literature, Fantasy, Classics, Humor, Novels","200 pages, Paperback","March 1, 2002 by Dalkey Archive Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634288448i/27208.jpg,de Selby,9781564782144 (ISBN10: 156478214X),English
About a Boy,Nick Hornby,,"London, England","ACE for ISBN 9780140293456  Will is thirty-six but acts like a teenager. Single, child-free and still feeling cool, he reads the right magazines, goes to the right clubs and knows which trainers to wear. He's also discovered a great way to score with women at single parents' groups, full of available (and grateful) mothers, all waiting for Mr Nice Guy. That's where he meets Marcus, the oldest twelve-year-old in the world. Marcus is a bit strange: he listens to Joni Mitchell and Mozart, he looks after his Mum and he's never even owned a pair of trainers. Perhaps if Will can teach Marcus how to be a kid, Marcus can help Will grow up and they can both start to act their age.","Fiction, Contemporary, Humor, Novels, British Literature, Comedy, Adult","307 pages, Mass Market Paperback","January 1, 2000 by Penguin Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382004144i/4271.jpg,"Will Freeman, Fiona Waters, Ellie",9780140285673 (ISBN10: 0140285679),English
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,,"When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction, and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‘success’ in life.  But not everyone understands Stephen Covey’s model fully well, or maybe there are some people who haven’t read it yet. This is definitely true because we still see so much failure all around us. Now, I am not saying that by using Covey’s model, or anyone else’s model for that matter, you can become a sure-shot success, but at least we should have seen many more successes around us already judging by the number of copies the book has sold! So, where is the shortcoming?  There are two main problems here, and we are talking only about the people who have read the book already. The first problem is that most people are too lazy to implement the ideals of Stephen Covey in their lives. They consider his masterpiece of a book as a mere coffee-table book or a book that you use for light reading when you are traveling and then forget all about it. They do not realize that this book contains life-changing information. Or, they take the information and do not make the effort to actually utilize it so that it becomes knowledge for them.  The second problem is that a lot of people have a myopic view of Covey’s ideals. These are people who are impressed by the book already. If you ask them what the seven habits are, they can rattle them off end to end, but then they miss the larger picture. They do not understand that Covey was trying to tell more than he wrote in words. There are hidden implications in this book, yes, and a lot of people have just failed to see through them.  That is what we are trying to do. We are trying to show you how Covey’s book, or rather, his model, was a complete model in itself. There was nothing amiss about it. If you implement it, there should be no aspect of your life that should go untouched. The only thing is that you have to understand these ideals and try to implement them in your life.  But, before we barge into that area, it is extremely important to understand what these ideals are. What was the model that was propounded by Stephen Covey in his mega-famous book? We shall begin by trying to understand his model first, and then interpret it in such a way that it pertains to every aspect of our life","Self Help, Nonfiction, Business, Personal Development, Psychology, Leadership, Productivity","372 pages, Paperback","First published January 1, 1989",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421842784i/36072.jpg,,,
